Year	BRU	CHN	DEN	DRV	EST	FIN	GFR	INS	LAT	LIT	MAL	PHI	POL	RUS	SIN	SWD	TAW
1967	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
1968	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
1969	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
1970	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	6	1	0	0	1	1	0	0	1	0	0
1973	0	0	6	0	0	0	6	1	0	0	1	1	0	0	1	0	0
1974	0	0	6	0	0	0	6	1	0	0	1	1	0	0	1	0	0
1975	0	0	6	0	0	0	6	2	0	0	2	2	0	0	2	0	0
1976	0	0	6	0	0	0	6	2	0	0	2	2	0	0	2	0	0
1977	0	0	6	0	0	0	6	2	0	0	2	2	0	0	2	0	0
1978	0	0	6	0	0	0	6	2	0	0	2	2	0	0	2	0	0
1979	0	0	7	0	0	0	7	2	0	0	2	2	0	0	2	0	0
1980	0	0	7	0	0	0	7	3	0	0	3	3	0	0	3	0	0
1981	0	0	7	0	0	0	7	3	0	0	3	3	0	0	3	0	0
1982	0	0	7	0	0	0	7	3	0	0	3	3	0	0	3	0	0
1983	0	0	7	0	0	0	7	3	0	0	3	3	0	0	3	0	0
1984	3	0	7	0	0	0	7	3	0	0	3	3	0	0	3	0	0
1985	3	0	8	0	0	0	8	3	0	0	3	3	0	0	3	0	0
1986	4	0	9	0	0	0	9	4	0	0	4	4	0	0	4	0	0
1987	4	0	9	0	0	0	9	4	0	0	4	4	0	0	4	0	0
1988	4	0	9	0	0	0	9	4	0	0	4	4	0	0	4	0	0
1989	4	0	9	0	0	0	9	4	0	0	4	4	0	0	4	0	0
1990	4	0	9	0	0	0	9	4	0	0	4	4	0	0	4	0	0
1991	4	0	9	0	0	0	9	4	0	0	4	4	0	0	4	0	0
1992	6	0	12	0	0	0	12	6	0	0	6	6	0	0	6	0	0
1993	6	0	12	0	0	0	12	6	0	0	6	6	0	0	6	0	0
1994	6	0	13	0	0	0	13	6	0	0	6	6	0	0	6	0	0
1995	9	0	13	9	0	13	13	9	0	0	9	9	0	0	9	13	0
1996	9	0	13	9	0	13	13	9	0	0	9	9	0	0	9	13	0
1997	10	0	16	10	0	16	16	10	0	0	10	10	0	0	10	16	0
1998	13	0	16	13	0	16	16	13	0	0	13	13	0	0	13	16	0
1999	13	0	16	13	0	16	16	13	0	0	13	13	0	0	13	16	0
2000	13	0	16	13	0	16	16	13	0	0	13	13	0	0	13	16	0
2001	13	0	16	13	0	16	16	13	0	0	13	13	0	0	13	16	0
2002	13	0	16	13	0	16	16	13	0	0	13	13	0	0	13	16	0
2003	15	0	17	15	0	17	17	15	0	0	15	15	0	0	15	17	0
2004	16	0	18	16	18	18	18	16	18	18	16	16	18	0	16	18	0
2005	17	0	19	17	19	19	19	17	19	19	17	17	19	0	17	19	0
2006	18	0	20	18	20	20	20	18	20	20	18	18	20	0	18	20	0
2007	20	0	21	20	21	21	21	20	21	21	20	20	21	0	20	21	0
2008	20	0	23	20	23	23	23	20	23	23	20	20	23	0	20	23	0
2009	26	0	23	26	23	23	23	26	23	23	26	26	23	0	26	23	0
2010	26	0	26	26	26	26	26	26	26	26	26	26	26	0	26	26	0
2011	26	0	26	26	26	26	26	26	26	26	26	26	26	0	26	26	0
2012	26	0	29	26	29	29	29	26	29	29	26	26	29	0	26	29	0
2013	27	0	29	27	29	29	29	27	29	29	27	27	29	0	27	29	0
2014	28	0	29	28	29	29	29	28	29	29	28	28	29	0	28	29	0
2015	30	0	29	30	29	29	29	30	29	29	30	30	29	0	30	29	0